Titre;Prix_DT;Lien;Source;Annonce-Detectee;Annonce-Deposee;Marque;Modèle;Année;Kilométrage;Boite;Energie;Localisation;Puissance_Fiscale;Etat_Vehicule;Statut
Bmw I3;44000;https://www.automax.tn/annonces/bmw-i3/;AutoMax;2026-07-13;2024-06-10;Bmw;I3;2004;234000;Automatique;Essence;Tunis;17;;
Bmw 3.0;63000;https://www.automax.tn/annonces/bmw-3-0/;AutoMax;2026-07-13;2024-06-10;Bmw;3.0;2015;135000;Automatique;Essence;Tunis;7;;
Ford Fiesta;35000;https://www.automax.tn/annonces/ford-fiesta/;AutoMax;2026-07-13;2024-06-08;Ford;Fiesta;2017;150000;Manuelle;Essence;Ben Arous;5;;
Land Rover Range Rover Evoque;195000;https://www.automax.tn/annonces/land-rover-range-rover-evoque-2/;AutoMax;2026-07-13;2024-06-08;Land Rover;Range Rover Evoque;2019;50000;Automatique;Diesel;Tunis;9;;
Jeep Renegade;79000;https://www.automax.tn/annonces/jeep-renegade-2/;AutoMax;2026-07-13;2024-06-08;Jeep;Renegade;2020;74000;Automatique;Essence;Tunis;8;;
Citroen C4;35000;https://www.automax.tn/annonces/citroen-c4/;AutoMax;2026-07-13;2024-06-08;Citroen;C4;2015;190000;Manuelle;Essence;Tunis;5;;
Audi A5;119000;https://www.automax.tn/annonces/audi-a5/;AutoMax;2026-07-13;2024-06-08;Audi;A5;2018;155000;Automatique;Essence;Tunis;8;;
Peugeot 208;45500;https://www.automax.tn/annonces/peugeot-208-2/;AutoMax;2026-07-13;2024-06-07;Peugeot;208;2022;57000;Manuelle;Essence;Tunis;4;;
Honda City;47000;https://www.automax.tn/annonces/honda-city-2/;AutoMax;2026-07-13;2024-06-06;Honda;City;2019;84180;Automatique;Essence;Ben Arous;7;;
Mazda 3;53000;https://www.automax.tn/annonces/mazda-3-2/;AutoMax;2026-07-13;2024-06-04;Mazda;3;2018;130000;Manuelle;Essence;Kasserine;10;;
Ford Ranger;110;https://www.automax.tn/annonces/ford-ranger/;AutoMax;2026-07-13;2024-05-28;Ford;Ranger;2018;45000;Automatique;Diesel;Sousse;6;;
Hyundai Elantra;44000;https://www.automax.tn/annonces/hyundai-elantra/;AutoMax;2026-07-13;2024-05-28;Hyundai;Elantra;2016;140000;Automatique;Essence;Nabeul;8;;
Citroen Ds4;62000;https://www.automax.tn/annonces/citroen-ds4/;AutoMax;2026-07-13;2024-05-26;Citroen;Ds4;2019;95000;Manuelle;Essence;Monastir;7;;
Renault Clio;57900;https://www.automax.tn/annonces/renault-clio/;AutoMax;2026-07-13;2024-05-23;Renault;Clio;2022;17000;Manuelle;Essence;Ariana;5;;
Mazda 3;50900;https://www.automax.tn/annonces/mazda-3/;AutoMax;2026-07-13;2024-05-23;Mazda;3;2018;163000;Manuelle;Essence;Ariana;6;;
Mercedes Classe B;38000;https://www.automax.tn/annonces/mercedes-classe-b-2/;AutoMax;2026-07-13;2024-05-23;Mercedes;Classe B;2010;155000;Automatique;Essence;Tunis;6;;
Ford Mondeo;140000;https://www.automax.tn/annonces/ford-mondeo/;AutoMax;2026-07-13;2024-05-19;Ford;Mondeo;2022;31000;Automatique;Essence;Tunis;7;;
Bmw X5;122000;https://www.automax.tn/annonces/bmw-x5/;AutoMax;2026-07-13;2024-05-19;Bmw;X5;2010;126000;Automatique;Diesel;Monastir;10;;
Ford Ecosport;58000;https://www.automax.tn/annonces/ford-ecosport/;AutoMax;2026-07-13;2024-05-15;Ford;Ecosport;2019;85000;Manuelle;Essence;Ariana;7;;
Land Rover Discovery Sport;119000;https://www.automax.tn/annonces/land-rover-discovery-sport-4/;AutoMax;2026-07-13;2024-05-11;Land Rover;Discovery Sport;2015;125000;Automatique;Diesel;Tunis;11;;
Lada 4×4;50000;https://www.automax.tn/annonces/lada-4x4/;AutoMax;2026-07-13;2024-05-10;Lada;4×4;2018;128000;Manuelle;Essence;Tunis;7;;
Haval H6;77000;https://www.automax.tn/annonces/haval-h6/;AutoMax;2026-07-13;2024-05-10;Haval;H6;2020;48000;Automatique;Essence;Tunis;9;;
Ford Fusion;63000;https://www.automax.tn/annonces/ford-fusion-2/;AutoMax;2026-07-13;2024-05-10;Ford;Fusion;2014;85000;Manuelle;Essence;Tunis;9;;
Bmw Serie 4 Gran Coupe;100000;https://www.automax.tn/annonces/bmw-serie-4-gran-coupe-2/;AutoMax;2026-07-13;2024-05-10;Bmw;Serie 4 Gran Coupe;2016;173000;Automatique;Essence;Tunis;7;;
Mercedes 220;68000;https://www.automax.tn/annonces/mercedes-220-2/;AutoMax;2026-07-13;2024-05-09;Mercedes;220;2009;238000;Automatique;Diesel;Tunis;9;;
Nissan Patrol;55000;https://www.automax.tn/annonces/nissan-patrol-2/;AutoMax;2026-07-13;2024-05-09;Nissan;Patrol;1999;417000;Manuelle;Diesel;Tunis;11;;
Dacia Dokker Van;31000;https://www.automax.tn/annonces/dacia-dokker-van/;AutoMax;2026-07-13;2024-05-09;Dacia;Dokker Van;2018;100000;Manuelle;Diesel;Mahdia;6;;
Geely Gx3;52000;https://www.automax.tn/annonces/geely-gx3-3/;AutoMax;2026-07-13;2024-05-07;Geely;Gx3;2021;45000;Manuelle;Essence;Beja;6;;
Audi Q3 Sportback;205000;https://www.automax.tn/annonces/audi-q3-sportback/;AutoMax;2026-07-13;2024-05-06;Audi;Q3 Sportback;2023;12000;Automatique;Essence;Tunis;9;;
Bmw Serie 5;147000;https://www.automax.tn/annonces/bmw-serie-5-2/;AutoMax;2026-07-13;2024-05-04;Bmw;Serie 5;2018;105000;Automatique;Essence;Tunis;10;;
Mercedes 220;68000;https://www.automax.tn/annonces/mercedes-220/;AutoMax;2026-07-13;2024-05-04;Mercedes;220;2009;238000;Automatique;Diesel;Tunis;9;;
Peugeot 208;36000;https://www.automax.tn/annonces/peugeot-208-8/;AutoMax;2026-07-13;2024-05-04;Peugeot;208;2019;92000;Manuelle;Essence;Sousse;5;;
Kia Picanto;35000;https://www.automax.tn/annonces/kia-picanto-8/;AutoMax;2026-07-13;2024-05-01;Kia;Picanto;2019;140000;Manuelle;Essence;Monastir;4;;
Fiat 500;29500;https://www.automax.tn/annonces/fiat-500-6/;AutoMax;2026-07-13;2024-05-01;Fiat;500;2009;198000;Manuelle;Essence;Ariana;4;;
Dfsk K02s;79000;https://www.automax.tn/annonces/dfsk-k02s/;AutoMax;2026-07-13;2024-04-26;Dfsk;K02s;2024;1400;Automatique;Essence;Nabeul;7;;
Mercedes Cla;160000;https://www.automax.tn/annonces/mercedes-cla/;AutoMax;2026-07-13;2024-04-26;Mercedes;Cla;2020;46;Automatique;Essence;Ariana;7;;
Citroen C4;23000;https://www.automax.tn/annonces/citroen-c4-3/;AutoMax;2026-07-13;2024-04-25;Citroen;C4;2008;370000;Manuelle;Diesel;Tunis;6;;
Ford Ka;19500;https://www.automax.tn/annonces/ford-ka-4/;AutoMax;2026-07-13;2024-04-25;Ford;Ka;2012;212000;Manuelle;Essence;Tunis;4;;
Renault Clio;41500;https://www.automax.tn/annonces/renault-clio-18/;AutoMax;2026-07-13;2024-04-22;Renault;Clio;2021;35000;Manuelle;Essence;Ben Arous;4;;
Ford Ka;23000;https://www.automax.tn/annonces/ford-ka-3/;AutoMax;2026-07-13;2024-04-21;Ford;Ka;2012;212500;Manuelle;Essence;Ben Arous;4;;
Renault Symbol;27000;https://www.automax.tn/annonces/renault-symbol-4/;AutoMax;2026-07-13;2024-04-20;Renault;Symbol;2014;136000;Manuelle;Essence;Sousse;5;;
Geely Gx3;53000;https://www.automax.tn/annonces/geely-gx3-2/;AutoMax;2026-07-13;2024-04-19;Geely;Gx3;2021;45000;Manuelle;Essence;Beja;6;;
Land Rover Range Rover Evoque;105000;https://www.automax.tn/annonces/land-rover-range-rover-evoque/;AutoMax;2026-07-13;2024-04-19;Land Rover;Range Rover Evoque;2013;140000;Automatique;Essence;Sousse;20;;
Renault Megane;54000;https://www.automax.tn/annonces/renault-megane-7/;AutoMax;2026-07-13;2024-04-19;Renault;Megane;2019;98000;Manuelle;Diesel;Sousse;15;;
Dfsk K01;64000;https://www.automax.tn/annonces/dfsk-k01/;AutoMax;2026-07-13;2024-04-16;Dfsk;K01;2021;65500;Automatique;Essence;Tunis;6;;
Volkswagen Polo Sedan;35000;https://www.automax.tn/annonces/volkswagen-polo-sedan-3/;AutoMax;2026-07-13;2024-04-13;Volkswagen;Polo Sedan;2016;149500;Manuelle;Essence;Ben Arous;5;;
Toyota Agya;41000;https://www.automax.tn/annonces/toyota-agya-4/;AutoMax;2026-07-13;2024-04-10;Toyota;Agya;2021;38500;Automatique;Essence;Manouba;5;;
Hyundai I20;29000;https://www.automax.tn/annonces/hyundai-i20-5/;AutoMax;2026-07-13;2024-04-08;Hyundai;I20;2013;120000;Manuelle;Essence;Ariana;10;;
Peugeot 206+;14500;https://www.automax.tn/annonces/peugeot-206-6/;AutoMax;2026-07-13;2024-04-04;Peugeot;206+;2012;70000;Manuelle;Diesel;Manouba;10;;
Toyota Agya;33300;https://www.automax.tn/annonces/toyota-agya-3/;AutoMax;2026-07-13;2024-04-03;Toyota;Agya;2021;47500;Manuelle;Essence;Tunis;4;;
Bmw Serie 4 Gran Coupe;100000;https://www.automax.tn/annonces/bmw-serie-4-gran-coupe/;AutoMax;2026-07-13;2024-04-02;Bmw;Serie 4 Gran Coupe;2016;173000;Automatique;Essence;Tunis;7;;
Renault Clio;59000;https://www.automax.tn/annonces/renault-clio-17/;AutoMax;2026-07-13;2024-04-01;Renault;Clio;2022;17000;Manuelle;Essence;Tunis;5;;
Volkswagen Polo;56000;https://www.automax.tn/annonces/volkswagen-polo-11/;AutoMax;2026-07-13;2024-04-01;Volkswagen;Polo;2021;94000;Manuelle;Essence;Tunis;4;;
Mercedes Classe E;68000;https://www.automax.tn/annonces/mercedes-classe-e-5/;AutoMax;2026-07-13;2024-04-01;Mercedes;Classe E;2009;238000;Automatique;Diesel;Tunis;9;;
Mahindra Kuv 100;30500;https://www.automax.tn/annonces/mahindra-kuv-100-4/;AutoMax;2026-07-13;2024-04-01;Mahindra;Kuv 100;2021;71223;Manuelle;Essence;Tunis;5;;
Suzuki Swift;47000;https://www.automax.tn/annonces/suzuki-swift-2/;AutoMax;2026-07-13;2024-03-30;Suzuki;Swift;2020;136000;Automatique;Essence;Nabeul;5;;
Audi A3;38000;https://www.automax.tn/annonces/audi-a3-2/;AutoMax;2026-07-13;2024-03-30;Audi;A3;2010;238000;Manuelle;Essence;Ariana;6;;
Mahindra Kuv 100;37000;https://www.automax.tn/annonces/mahindra-kuv-100-6/;AutoMax;2026-07-13;2024-03-29;Mahindra;Kuv 100;2021;28000;Manuelle;Essence;Medenine;5;;
Peugeot 206;21000;https://www.automax.tn/annonces/peugeot-206/;AutoMax;2026-07-13;2024-03-27;Peugeot;206;2008;177000;Manuelle;Essence;Jendouba;6;;
Seat Ibiza;49000;https://www.automax.tn/annonces/seat-ibiza-10/;AutoMax;2026-07-13;2024-03-27;Seat;Ibiza;2021;69000;Manuelle;Essence;Tunis;4;;
Kia Picanto;43000;https://www.automax.tn/annonces/kia-picanto-7/;AutoMax;2026-07-13;2024-03-27;Kia;Picanto;2019;107000;Automatique;Essence;Tunis;5;;
Kia Picanto;44600;https://www.automax.tn/annonces/kia-picanto-6/;AutoMax;2026-07-13;2024-03-27;Kia;Picanto;2022;49000;Automatique;Essence;Tunis;5;;
Jeep Grand Cherokee;75000;https://www.automax.tn/annonces/jeep-grand-cherokee/;AutoMax;2026-07-13;2024-03-27;Jeep;Grand Cherokee;2003;250000;Automatique;Essence;Tunis;15;;
Mercedes Classe B;38000;https://www.automax.tn/annonces/mercedes-classe-b/;AutoMax;2026-07-13;2024-03-27;Mercedes;Classe B;2010;155000;Automatique;Essence;Tunis;6;;
Ford Fiesta;35800;https://www.automax.tn/annonces/ford-fiesta-6/;AutoMax;2026-07-13;2024-03-27;Ford;Fiesta;2016;123000;Manuelle;Essence;Ariana;5;;
Chery Arrizo 5;39500;https://www.automax.tn/annonces/chery-arrizo-5/;AutoMax;2026-07-13;2024-03-27;Chery;Arrizo 5;2020;140000;Automatique;Essence;Tunis;7;;
Opel Astra;53500;https://www.automax.tn/annonces/opel-astra-3/;AutoMax;2026-07-13;2024-03-25;Opel;Astra;2019;128000;Manuelle;Diesel;Ben Arous;10;;
Mahindra Kuv 100;39000;https://www.automax.tn/annonces/mahindra-kuv-100-5/;AutoMax;2026-07-13;2024-03-23;Mahindra;Kuv 100;2020;28000;Manuelle;Essence;Monastir;12;;
Volkswagen Golf;39000;https://www.automax.tn/annonces/volkswagen-golf-9/;AutoMax;2026-07-13;2024-03-21;Volkswagen;Golf;2012;240000;Manuelle;Diesel;Bizerte;5;;
Geely Gx3;52000;https://www.automax.tn/annonces/geely-gx3/;AutoMax;2026-07-13;2024-03-21;Geely;Gx3;2021;22000;Manuelle;Essence;Tunis;6;;
Chery Tiggo 2;47000;https://www.automax.tn/annonces/chery-tiggo-2-3/;AutoMax;2026-07-13;2024-03-19;Chery;Tiggo 2;2020;33000;Manuelle;Essence;Ariana;6;;
Volkswagen Polo;13000;https://www.automax.tn/annonces/volkswagen-polo-10/;AutoMax;2026-07-13;2024-03-18;Volkswagen;Polo;2009;360000;Manuelle;Essence;Tunis;4;;
Honda City;57000;https://www.automax.tn/annonces/honda-city/;AutoMax;2026-07-13;2024-03-18;Honda;City;2021;62000;Automatique;Hybride;Ariana;6;;
Kia Rio;36000;https://www.automax.tn/annonces/kia-rio-8/;AutoMax;2026-07-13;2024-03-16;Kia;Rio;2015;223000;Manuelle;Essence;Ben Arous;5;;
Chery Qq;25300;https://www.automax.tn/annonces/chery-qq-2/;AutoMax;2026-07-13;2024-03-16;Chery;Qq;2017;11800;Manuelle;Essence;Tunis;4;;
Citroen C3;26500;https://www.automax.tn/annonces/citroen-c3-8/;AutoMax;2026-07-13;2024-03-16;Citroen;C3;2010;163;Manuelle;Essence;Tunis;12;;
Audi Q2;78000;https://www.automax.tn/annonces/audi-q2/;AutoMax;2026-07-13;2024-03-16;Audi;Q2;2018;220000;Automatique;Essence;Sfax;6;;
Suzuki Swift;47000;https://www.automax.tn/annonces/suzuki-swift/;AutoMax;2026-07-13;2024-03-14;Suzuki;Swift;2020;29000;Automatique;Essence;Sousse;5;;
Chery E3;26000;https://www.automax.tn/annonces/chery-e3-2/;AutoMax;2026-07-13;2024-03-07;Chery;E3;2017;122;Manuelle;Essence;Ariana;6;;
Chery Tiggo 3;43000;https://www.automax.tn/annonces/chery-tiggo-3-2/;AutoMax;2026-07-13;2024-03-07;Chery;Tiggo 3;2018;110000;Manuelle;Essence;Ben Arous;8;;
Chevrolet Aveo;23000;https://www.automax.tn/annonces/chevrolet-aveo-3/;AutoMax;2026-07-13;2024-03-06;Chevrolet;Aveo;2011;160000;Manuelle;Essence;Ben Arous;5;;
Chery Tiggo 2;48000;https://www.automax.tn/annonces/chery-tiggo-2-2/;AutoMax;2026-07-13;2024-03-06;Chery;Tiggo 2;2020;66000;Manuelle;Essence;Ben Arous;6;;
Baic Yx Kenbo S2;39000;https://www.automax.tn/annonces/baic-yx-kenbo-s2/;AutoMax;2026-07-13;2024-03-06;Baic Yx;Kenbo S2;2018;145;Manuelle;Essence;Sfax;6;;
Bmw Serie 1;32800;https://www.automax.tn/annonces/bmw-serie-1/;AutoMax;2026-07-13;2024-03-03;Bmw;Serie 1;2009;240000;Manuelle;Diesel;Manouba;27;;
Volkswagen Amarok;145000;https://www.automax.tn/annonces/volkswagen-amarok/;AutoMax;2026-07-13;2024-03-02;Volkswagen;Amarok;2021;80000;Automatique;Diesel;Tunis;7;;
Volkswagen Golf 7;62500;https://www.automax.tn/annonces/volkswagen-golf-7-2/;AutoMax;2026-07-13;2024-03-01;Volkswagen;Golf 7;2019;130000;Manuelle;Essence;Tunis;7;;
Great-Wall m4;39000;https://www.automax.tn/annonces/great-wall-m4-2/;AutoMax;2026-07-13;2024-02-29;Great-Wall;m4;2017;99000;Manuelle;Essence;Tunis;6;;
Kia Picanto;40000;https://www.automax.tn/annonces/kia-picanto-4/;AutoMax;2026-07-13;2024-02-27;Kia;Picanto;2020;32000;Manuelle;Essence;Ariana;4;;
Volkswagen Golf 7;56800;https://www.automax.tn/annonces/volkswagen-golf-7-5/;AutoMax;2026-07-13;2024-02-27;Volkswagen;Golf 7;2015;95000;Manuelle;Essence;Tunis;15;;
Mazda 3 Sedan;52000;https://www.automax.tn/annonces/mazda-3-sedan/;AutoMax;2026-07-13;2024-02-23;Mazda;3 Sedan;2017;123000;Manuelle;Essence;Ariana;6;;
Peugeot 508;39200;https://www.automax.tn/annonces/peugeot-508-6/;AutoMax;2026-07-13;2024-02-23;Peugeot;508;2014;230000;Automatique;Essence;Ariana;7;;
Haval H6;90000;https://www.automax.tn/annonces/haval-h6-2/;AutoMax;2026-07-13;2024-02-22;Haval;H6;2020;64000;Automatique;Essence;Tunis;9;;
Ssangyong Xlv;45000;https://www.automax.tn/annonces/ssangyong-xlv/;AutoMax;2026-07-13;2024-02-21;Ssangyong;Xlv;2018;252000;Automatique;Essence;Ben Arous;8;;
Volkswagen Golf 7;55000;https://www.automax.tn/annonces/volkswagen-golf-7-3/;AutoMax;2026-07-13;2024-02-20;Volkswagen;Golf 7;2014;158000;Manuelle;Essence;Ben Arous;5;;
Seat Ibiza;49500;https://www.automax.tn/annonces/seat-ibiza-7/;AutoMax;2026-07-13;2024-02-19;Seat;Ibiza;2021;104000;Manuelle;Essence;Tunis;4;;
Peugeot 2008;42000;https://www.automax.tn/annonces/peugeot-2008-2/;AutoMax;2026-07-13;2024-02-17;Peugeot;2008;2016;124000;Automatique;Essence;Tunis;5;;
Kia Rio;67500;https://www.automax.tn/annonces/kia-rio-7/;AutoMax;2026-07-13;2024-02-15;Kia;Rio;2022;12000;Manuelle;Essence;Tunis;5;;
Renault Megane;18000;https://www.automax.tn/annonces/renault-megane-6/;AutoMax;2026-07-13;2024-02-13;Renault;Megane;2007;297000;Manuelle;Diesel;Ben Arous;5;;
Peugeot 308;29000;https://www.automax.tn/annonces/peugeot-308-2/;AutoMax;2026-07-13;2024-02-13;Peugeot;308;2012;250000;Manuelle;Essence;Nabeul;6;;
Peugeot 301;20500;https://www.automax.tn/annonces/peugeot-301-2/;AutoMax;2026-07-13;2024-02-06;Peugeot;301;2014;205000;Manuelle;Essence;Tunis;5;;
Bmw Serie 5;159000;https://www.automax.tn/annonces/bmw-serie-5-3/;AutoMax;2026-07-13;2024-02-02;Bmw;Serie 5;2019;74000;Automatique;Essence;Tunis;10;;
Great-Wall m4;35500;https://www.automax.tn/annonces/great-wall-m4/;AutoMax;2026-07-13;2024-02-01;Great-Wall;m4;2017;120000;Manuelle;Essence;Bizerte;6;;
Citroen C3;38000;https://www.automax.tn/annonces/citroen-c3-6/;AutoMax;2026-07-13;2024-01-31;Citroen;C3;2011;111149;Manuelle;Diesel;Gabes;4;;
Ssangyong Korando;34000;https://www.automax.tn/annonces/ssangyong-korando/;AutoMax;2026-07-13;2024-01-30;Ssangyong;Korando;2011;322000;Manuelle;Diesel;Sousse;10;;
Chevrolet Aveo;21000;https://www.automax.tn/annonces/chevrolet-aveo-2/;AutoMax;2026-07-13;2024-01-30;Chevrolet;Aveo;2007;2000;Manuelle;Essence;Sousse;5;;
Ssangyong Tivoli;58500;https://www.automax.tn/annonces/ssangyong-tivoli-2/;AutoMax;2026-07-13;2024-01-30;Ssangyong;Tivoli;2020;60000;Manuelle;Essence;Tunis;7;;
Suzuki Celerio;27000;https://www.automax.tn/annonces/suzuki-celerio-3/;AutoMax;2026-07-13;2024-01-29;Suzuki;Celerio;2017;138000;Manuelle;Essence;Tunis;4;;
Citroen C3;35;https://www.automax.tn/annonces/citroen-c3-5/;AutoMax;2026-07-13;2024-01-29;Citroen;C3;2011;111000;Manuelle;Diesel;Gabes;5;;
Land Rover Discovery Sport;119000;https://www.automax.tn/annonces/land-rover-discovery-sport-2/;AutoMax;2026-07-13;2024-01-28;Land Rover;Discovery Sport;2015;125000;Automatique;Diesel;Tunis;9;;
Peugeot 3008;99000;https://www.automax.tn/annonces/peugeot-3008-2/;AutoMax;2026-07-13;2024-01-26;Peugeot;3008;2021;57500;Automatique;Essence;Ariana;7;;
Nissan Qashqai;71000;https://www.automax.tn/annonces/nissan-qashqai/;AutoMax;2026-07-13;2024-01-23;Nissan;Qashqai;2016;112000;Manuelle;Diesel;Sidi Bouzid;7;;
Land Rover Discovery Sport;125000;https://www.automax.tn/annonces/land-rover-discovery-sport/;AutoMax;2026-07-13;2024-01-23;Land Rover;Discovery Sport;2017;187000;Automatique;Diesel;Tunis;10;;
Renault Kangoo;17600;https://www.automax.tn/annonces/renault-kangoo-2/;AutoMax;2026-07-13;2024-01-22;Renault;Kangoo;2005;392;Manuelle;Diesel;Nabeul;6;;
Citroen C1;31500;https://www.automax.tn/annonces/citroen-c1/;AutoMax;2026-07-13;2024-01-22;Citroen;C1;2018;60000;Manuelle;Essence;Ben Arous;10;;
Mercedes Classe E;143000;https://www.automax.tn/annonces/mercedes-classe-e-2/;AutoMax;2026-07-13;2024-01-22;Mercedes;Classe E;2018;107000;Automatique;Essence;Tunis;9;;
Mercedes Classe E;147000;https://www.automax.tn/annonces/mercedes-classe-e-3/;AutoMax;2026-07-13;2024-01-22;Mercedes;Classe E;2019;100000;Automatique;Essence;Tunis;9;;
Jeep Renegade;85000;https://www.automax.tn/annonces/jeep-renegade/;AutoMax;2026-07-13;2024-01-22;Jeep;Renegade;2021;71000;Manuelle;Essence;Tunis;6;;
Nissan Patrol;45000;https://www.automax.tn/annonces/nissan-patrol/;AutoMax;2026-07-13;2024-01-21;Nissan;Patrol;2000;155000;Manuelle;Diesel;Tunis;11;;
Peugeot 508;33000;https://www.automax.tn/annonces/peugeot-508-4/;AutoMax;2026-07-13;2024-01-21;Peugeot;508;2012;140000;Manuelle;Essence;Tunis;9;;
Ford Fusion;63000;https://www.automax.tn/annonces/ford-fusion/;AutoMax;2026-07-13;2024-01-21;Ford;Fusion;2016;85000;Manuelle;Essence;Tunis;9;;
Mahindra Kuv 100;29500;https://www.automax.tn/annonces/mahindra-kuv-100-3/;AutoMax;2026-07-13;2024-01-19;Mahindra;Kuv 100;2019;21500;Manuelle;Essence;Tunis;5;;
Peugeot 3008;82000;https://www.automax.tn/annonces/peugeot-3008/;AutoMax;2026-07-13;2024-01-19;Peugeot;3008;2017;140000;Automatique;Diesel;Sfax;6;;
Renault Clio;47000;https://www.automax.tn/annonces/renault-clio-4/;AutoMax;2026-07-13;2024-01-14;Renault;Clio;2021;16000;Manuelle;Essence;Kairouan;5;;
Seat Ibiza;42600;https://www.automax.tn/annonces/seat-ibiza/;AutoMax;2026-07-13;2024-01-08;Seat;Ibiza;2018;140000;Manuelle;Essence;Ben Arous;4;;
Hyundai i20;40500;https://www.automax.tn/annonces/hyundai-i20-2/;AutoMax;2026-07-13;2024-01-08;Hyundai;I20;2019;102000;Manuelle;Essence;Ben Arous;5;;
Peugeot 508;30000;https://www.automax.tn/annonces/peugeot-508/;AutoMax;2026-07-13;2024-01-08;Peugeot;508;2011;240000;Manuelle;Essence;Tunis;9;;
Opel Insignia;25900;https://www.automax.tn/annonces/opel-insignia/;AutoMax;2026-07-13;2024-01-06;Opel;Insignia;2013;260000;Manuelle;Essence;Ben Arous;11;;
Seat Leon;45000;https://www.automax.tn/annonces/vente/;AutoMax;2026-07-13;2024-01-04;Seat;Leon;2014;170000;Manuelle;Essence;Ben Arous;6;;
Citroen C3;38900;https://www.automax.tn/annonces/citroen-c3/;AutoMax;2026-07-13;2024-01-03;Citroen;C3;2019;79400;Manuelle;Essence;Ariana;4;;
Citroen Berlingo B9;35000;https://www.automax.tn/annonces/citroen-b9/;AutoMax;2026-07-13;2024-01-03;Citroen;Berlingo B9;2018;183000;Manuelle;Diesel;Medenine;5;;
Volkswagen Golf 7;50000;https://www.automax.tn/annonces/volkswagen-golf-7-10/;AutoMax;2026-07-19;2026-07-18;Volkswagen;Golf 7;2015;179000;Manuelle;Essence;Sousse;5;;
